"","NestID","BandID","NestYr"
"1","4255_2023_1",4255,2023
"2","4255_2023_2",4255,2023
"3","4419_2022_1",4419,2022
"4","4603_2022_2",4603,2022
"5","4603_2023_1",4603,2023
"6","4605_2022_2",4605,2022
"7","4613_2023_1",4613,2023
"8","4660_2022_1",4660,2022
"9","4660_2023_1",4660,2023
"10","4660_2023_2",4660,2023
"11","4662_2022_1",4662,2022
"12","4698_2022_1",4698,2022
"13","8168_2023_1",8168,2023
"14","8169_2022_1",8169,2022
"15","8173_2022_1",8173,2022
"16","8175_2023_1",8175,2023
"17","8176_2022_2",8176,2022
"18","8176_2023_1",8176,2023
"19","8176_2023_3",8176,2023
"20","8177_2022_1",8177,2022
"21","8180_2023_1",8180,2023
"22","8181_2023_2",8181,2023
"23","8183_2023_1",8183,2023
"24","8184_2023_1",8184,2023
"25","8187_2023_1",8187,2023
"26","8188_2022_1",8188,2022
"27","8188_2023_2",8188,2023
"28","8189_2022_1",8189,2022
"29","8189_2022_2",8189,2022
"30","8191_2023_1",8191,2023
"31","8191_2023_2",8191,2023
"32","8202_2022_1",8202,2022
"33","8203_2022_1",8203,2022
"34","8207_2022_1",8207,2022
"35","8208_2023_1",8208,2023
"36","8209_2022_1",8209,2022
"37","8209_2022_2",8209,2022
"38","8210_2022_1",8210,2022
"39","8211_2022_1",8211,2022
"40","8211_2023_1",8211,2023
"41","8217_2022_1",8217,2022
"42","8220_2022_1",8220,2022
"43","8220_2023_1",8220,2023
"44","8220_2023_2",8220,2023
"45","8223_2023_1",8223,2023
"46","8224_2022_1",8224,2022
"47","8225_2023_1",8225,2023
"48","8260_2022_1",8260,2022
"49","8260_2023_1",8260,2023
"50","8261_2022_1",8261,2022
"51","8262_2022_1",8262,2022
"52","8263_2022_1",8263,2022
"53","8264_2022_1",8264,2022
"54","8265_2022_1",8265,2022
"55","8455_2022_1",8455,2022
"56","8461_2022_1",8461,2022
"57","8461_2022_4",8461,2022
"58","8464_2023_1",8464,2023
"59","8471_2022_2",8471,2022
"60","8472_2023_1",8472,2023
"61","8473_2022_1",8473,2022
"62","8473_2022_2",8473,2022
"63","8473_2023_1",8473,2023
"64","8473_2023_2",8473,2023
"65","8478_2022_2",8478,2022
"66","8479_2022_1",8479,2022
"67","8483_2022_1",8483,2022
"68","8501_2022_1",8501,2022
"69","8576_2023_1",8576,2023
"70","8577_2023_1",8577,2023
"71","8579_2023_1",8579,2023
"72","8581_2023_1",8581,2023
"73","8581_2023_2",8581,2023
"74","8586_2023_1",8586,2023
"75","8601_2023_1",8601,2023
"76","8602_2023_1",8602,2023
"77","8602_2023_2",8602,2023
"78","8603_2023_1",8603,2023
"79","8604_2023_1",8604,2023
"80","8605_2023_1",8605,2023
"81","8625_2023_1",8625,2023
"82","8627_2023_1",8627,2023
"83","8627_2023_2",8627,2023
"84","8630_2023_1",8630,2023
"85","8651_2023_1",8651,2023
"86","8659_2023_1",8659,2023
"87","8661_2023_1",8661,2023
"88","8666_2023_1",8666,2023
"89","8667_2023_1",8667,2023
"90","8668_2023_2",8668,2023
"91","8670_2023_1",8670,2023
"92","8672_2023_1",8672,2023
"93","8674_2023_1",8674,2023
"94","8752_2023_1",8752,2023
"95","8758_2023_1",8758,2023
"96","8760_2023_1",8760,2023
"97","8767_2023_1",8767,2023
"98","8771_2023_1",8771,2023
"99","8775_2023_1",8775,2023
"100","8802_2023_1",8802,2023
"101","8803_2023_1",8803,2023
"102","8805_2023_1",8805,2023
"103","8810_2023_2",8810,2023
"104","8902_2023_1",8902,2023
"105","8902_2023_2",8902,2023
"106","8905_2023_2",8905,2023
"107","8907_2023_1",8907,2023
"108","8908_2023_2",8908,2023
"109","8909_2023_1",8909,2023
"110","8952_2023_2",8952,2023
"111","8953_2023_1",8953,2023
"112","8992_2023_1",8992,2023
"113","8995_2023_1",8995,2023
"114","8997_2023_2",8997,2023
"115","8998_2023_1",8998,2023
"116","9000_2023_1",9000,2023
"117","9000_2023_2",9000,2023
"118","9002_2023_1",9002,2023
"119","9003_2023_2",9003,2023
"120","9005_2023_1",9005,2023
"121","9005_2023_2",9005,2023
"122","9007_2023_1",9007,2023
"123","9009_2023_1",9009,2023
"124","9010_2023_1",9010,2023
"125","9010_2023_2",9010,2023
"126","9013_2023_1",9013,2023
"127","9013_2023_2",9013,2023
"128","9019_2023_1",9019,2023
"129","9020_2023_1",9020,2023
"130","9021_2023_1",9021,2023
"131","9022_2023_2",9022,2023
"132","9023_2023_2",9023,2023
"133","9024_2023_1",9024,2023
"134","9024_2023_2",9024,2023
"135","9024_2023_3",9024,2023
"136","9026_2023_1",9026,2023
"137","9051_2023_1",9051,2023
"138","9054_2023_1",9054,2023
"139","9054_2023_2",9054,2023
"140","9055_2023_1",9055,2023
"141","9055_2023_2",9055,2023
"142","9058_2023_1",9058,2023
"143","9062_2023_1",9062,2023
"144","9064_2023_1",9064,2023
"145","9065_2023_1",9065,2023
"146","9068_2023_1",9068,2023
"147","9072_2023_1",9072,2023
"148","9076_2023_1",9076,2023
"149","9076_2023_2",9076,2023
"150","9079_2023_1",9079,2023
"151","9083_2023_1",9083,2023
"152","9084_2023_1",9084,2023
"153","9085_2023_1",9085,2023
"154","9090_2023_1",9090,2023
"155","9092_2023_2",9092,2023
"156","9093_2023_1",9093,2023
"157","9094_2023_1",9094,2023
"158","9096_2023_1",9096,2023
